id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,event_url,sf_event_guid,sf_server,sf_stream_name
SF11C2013347860766590,SF11E113149,26.405,-80.19,RX,199.999999503,201507260000Z,10.0,FL,USA,12099,http://128.208.123.111/smartfire/events/b6778914-b3af-4a11-bcdf-510ac816c124,b6778914-b3af-4a11-bcdf-510ac816c124,128.208.123.111,realtime
SF11C2013357860766590,SF11E113119,36.498,-76.881,RX,69.9999998261,201507260000Z,10.0,NC,USA,37073,http://128.208.123.111/smartfire/events/abf87cbf-3467-4809-ba79-da06b09bde28,abf87cbf-3467-4809-ba79-da06b09bde28,128.208.123.111,realtime
SF11C2013367860766590,SF11E112603,36.885,-77.052,RX,69.9999998261,201507260000Z,10.0,VA,USA,51175,http://128.208.123.111/smartfire/events/f03c01e9-48ee-402d-b313-297850a156a3,f03c01e9-48ee-402d-b313-297850a156a3,128.208.123.111,realtime
SF11C2013377860766590,SF11E113137,36.327,-77.426,RX,74.9999998137,201507260000Z,10.0,NC,USA,37131,http://128.208.123.111/smartfire/events/704dc702-19da-47c6-b8d7-94c24659b183,704dc702-19da-47c6-b8d7-94c24659b183,128.208.123.111,realtime
SF11C2013387860766590,SF11E113151,34.503,-78.321,RX,69.9999998261,201507260000Z,10.0,NC,USA,37017,http://128.208.123.111/smartfire/events/bac1c984-76e8-423e-a1cd-2085622baf20,bac1c984-76e8-423e-a1cd-2085622baf20,128.208.123.111,realtime
SF11C2013397860766590,SF11E113129,35.074,-79.118,RX,69.9999998261,201507260000Z,10.0,NC,USA,37093,http://128.208.123.111/smartfire/events/e6d4be7b-3379-4afe-90f9-9410a7cd4263,e6d4be7b-3379-4afe-90f9-9410a7cd4263,128.208.123.111,realtime
SF11C2013407860766590,SF11E113153,40.213,-76.843,RX,99.9999997516,201507260000Z,10.0,PA,USA,42133,http://128.208.123.111/smartfire/events/8b51f8d1-2120-4310-9c2b-d3796cc00049,8b51f8d1-2120-4310-9c2b-d3796cc00049,128.208.123.111,realtime
SF11C2013417860766590,SF11E113116,35.14,-79.279,RX,69.9999998261,201507260000Z,10.0,NC,USA,37093,http://128.208.123.111/smartfire/events/89d3d07b-339d-4007-8e75-3bbaed1e5e16,89d3d07b-339d-4007-8e75-3bbaed1e5e16,128.208.123.111,realtime
SF11C2013427860766590,SF11E113135,34.981,-79.483,RX,69.9999998261,201507260000Z,10.0,NC,USA,37165,http://128.208.123.111/smartfire/events/736da5fe-74ca-424e-ac45-05c40d3da9f5,736da5fe-74ca-424e-ac45-05c40d3da9f5,128.208.123.111,realtime
SF11C2013437860766590,SF11E112640,33.279,-81.597,RX,69.9999998261,201507260000Z,10.0,SC,USA,45011,http://128.208.123.111/smartfire/events/7427f121-dc85-486a-88cb-472f5b39b765,7427f121-dc85-486a-88cb-472f5b39b765,128.208.123.111,realtime
