hour, heat, smold_frac, plume_bot, plume_top
0, 0.000000, 1.000000, 0.000000, 0.000000
1, 0.000000, 1.000000, 0.000000, 0.000000
2, 0.000000, 1.000000, 0.000000, 0.000000
3, 0.000000, 1.000000, 0.000000, 0.000000
4, 0.000000, 1.000000, 0.000000, 0.000000
5, 0.000000, 1.000000, 0.000000, 0.000000
6, 0.000000, 1.000000, 0.000000, 0.000000
7, 0.000000, 1.000000, 0.000000, 0.000000
8, 0.000000, 1.000000, 0.000000, 0.000000
9, 0.000000, 1.000000, 0.000000, 0.000000
10, 58227.765380, 0.989444, 1.110956, 2.481938
11, 58529.565814, 0.989444, 1.110956, 2.489648
12, 39202.752190, 0.992963, 1.110956, 1.957504
13, 29528.260656, 0.994722, 1.110956, 1.651412
14, 23711.379279, 0.995778, 1.110956, 1.447728
15, 19820.810289, 0.996481, 1.110956, 1.300127
16, 17029.162065, 0.996984, 1.110956, 1.186940
17, 14923.085336, 0.997361, 1.110956, 1.096549
18, 13273.270431, 0.997654, 1.110956, 1.022115
19, 0.000000, 1.000000, 0.000000, 0.000000
20, 0.000000, 1.000000, 0.000000, 0.000000
21, 0.000000, 1.000000, 0.000000, 0.000000
22, 0.000000, 1.000000, 0.000000, 0.000000
23, 0.000000, 1.000000, 0.000000, 0.000000
24, 0.000000, 1.000000, 0.000000, 0.000000
25, 0.000000, 1.000000, 0.000000, 0.000000
26, 0.000000, 1.000000, 0.000000, 0.000000
27, 0.000000, 1.000000, 0.000000, 0.000000
28, 0.000000, 1.000000, 0.000000, 0.000000
29, 0.000000, 1.000000, 0.000000, 0.000000
30, 0.000000, 1.000000, 0.000000, 0.000000
31, 0.000000, 1.000000, 0.000000, 0.000000
32, 0.000000, 1.000000, 0.000000, 0.000000
33, 0.000000, 1.000000, 0.000000, 0.000000
34, 0.000000, 1.000000, 0.000000, 0.000000
35, 0.000000, 1.000000, 0.000000, 0.000000
36, 0.000000, 1.000000, 0.000000, 0.000000
37, 0.000000, 1.000000, 0.000000, 0.000000
38, 0.000000, 1.000000, 0.000000, 0.000000
39, 0.000000, 1.000000, 0.000000, 0.000000
40, 0.000000, 1.000000, 0.000000, 0.000000
41, 0.000000, 1.000000, 0.000000, 0.000000
42, 0.000000, 1.000000, 0.000000, 0.000000
43, 0.000000, 1.000000, 0.000000, 0.000000
44, 0.000000, 1.000000, 0.000000, 0.000000
45, 0.000000, 1.000000, 0.000000, 0.000000
46, 0.000000, 1.000000, 0.000000, 0.000000
47, 0.000000, 1.000000, 0.000000, 0.000000
