id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,event_url,sf_event_guid,sf_server,sf_stream_name
SF11C31121414682754990,SF11E1789784,36.232,-118.464,WF,4737.99998823,201710140000Z,10.0,CA,USA,06107,http://128.208.123.111/smartfire/events/a6d622d0-657f-4bbe-8c67-1509b613fd1f,a6d622d0-657f-4bbe-8c67-1509b613fd1f,128.208.123.111,realtime
SF11C31121424682754990,SF11E1817323,38.762,-122.814,WF,1399.99999652,201710140000Z,10.0,CA,USA,06097,http://128.208.123.111/smartfire/events/a2aa336c-9b32-4d99-ae96-a0db58262ca2,a2aa336c-9b32-4d99-ae96-a0db58262ca2,128.208.123.111,realtime
SF11C31121434682754990,SF11E1832680,38.307,-122.422,WF,8199.99997963,201710140000Z,,,,,http://128.208.123.111/smartfire/events/5ae97609-a4bf-4ce1-94a2-f0a7c3dbe67a,5ae97609-a4bf-4ce1-94a2-f0a7c3dbe67a,128.208.123.111,realtime
SF11C31121444682754990,SF11E1832680,38.432,-122.482,WF,14399.9999642,201710140000Z,,,,,http://128.208.123.111/smartfire/events/5ae97609-a4bf-4ce1-94a2-f0a7c3dbe67a,5ae97609-a4bf-4ce1-94a2-f0a7c3dbe67a,128.208.123.111,realtime
SF11C31121454682754990,SF11E1815432,40.19,-123.008,WF,1931.9999952,201710140000Z,10.0,CA,USA,06105,http://128.208.123.111/smartfire/events/dc6471f2-8f86-4ff4-89a4-fc9f902521d7,dc6471f2-8f86-4ff4-89a4-fc9f902521d7,128.208.123.111,realtime
SF11C31121464682754990,SF11E1829599,48.656,-116.291,RX,91.9999997715,201710140000Z,10.0,ID,USA,16021,http://128.208.123.111/smartfire/events/a8d165ec-ec55-49c9-9497-ec9805e3aae1,a8d165ec-ec55-49c9-9497-ec9805e3aae1,128.208.123.111,realtime
SF11C31121474682754990,SF11E1833794,30.347,-88.472,RX,99.9999997516,201710140000Z,,,,,http://128.208.123.111/smartfire/events/c19d0655-c8d9-4248-8af1-96e20954754d,c19d0655-c8d9-4248-8af1-96e20954754d,128.208.123.111,realtime
SF11C31121484682754990,SF11E1789784,36.263,-118.426,WF,275.999999315,201710140000Z,10.0,CA,USA,06107,http://128.208.123.111/smartfire/events/a6d622d0-657f-4bbe-8c67-1509b613fd1f,a6d622d0-657f-4bbe-8c67-1509b613fd1f,128.208.123.111,realtime
SF11C31121494682754990,SF11E1829576,43.856,-122.437,RX,45.9999998858,201710140000Z,10.0,OR,USA,41039,http://128.208.123.111/smartfire/events/c887b68b-ae52-4a79-8b2a-e69ea52b2cd3,c887b68b-ae52-4a79-8b2a-e69ea52b2cd3,128.208.123.111,realtime
SF11C31121504682754990,SF11E1830023,56.216,-119.924,RX,99.9999997516,201710140000Z,10.0,Unknown,Unknown,-9999,http://128.208.123.111/smartfire/events/518fec53-d9fc-4d34-b718-8018c9ba196a,518fec53-d9fc-4d34-b718-8018c9ba196a,128.208.123.111,realtime
